序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
1,北京大学,程序设计与算法（一）C语言程序设计CAP,14周,3-4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,19315,http://www.icourse163.org/course/PKU-1001553023
2,北京大学,人工智能原理,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,60339,http://www.icourse163.org/course/PKU-1002188003
3,北京大学,程序设计与算法（二）算法基础,12周,4-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,15664,http://www.icourse163.org/course/PKU-1001894005
4,北京大学,程序设计与算法（三）C++面向对象程序设计,12周,2-3小时每周,视频 文档 随堂测验,计算机,11933,http://www.icourse163.org/course/PKU-1002029030
5,北京大学,翻转课堂教学法1.5,7周,3-8小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,2533,http://www.icourse163.org/course/PKU-1001967013
6,北京大学,流行病学基础（二）,5周,1-1.5小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,2615,http://www.icourse163.org/course/PKU-1001956010
7,北京大学,流行病学基础（一）,6周,1.5-2小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,7198,http://www.icourse163.org/course/PKU-21005
8,北京大学,Java程序设计,12周,3-6小时每周,视频 文档 随堂测验 富文本 讨论,计算机,43579,http://www.icourse163.org/course/PKU-1001941004
9,北京大学,c#程序设计,13周,3-6小时每周,视频 文档 随堂测验 富文本 讨论,计算机,18077,http://www.icourse163.org/course/PKU-1001663016
10,北京大学,慕课问道,6周,2-3,视频 文档 随堂测验 讨论,教育教学,3529,http://www.icourse163.org/course/PKU-318002
11,北京大学,信息化教学设计,,待定,视频 文档 随堂测验 富文本 讨论,教育教学,19507,http://www.icourse163.org/course/PKU-330001
12,北京大学,教师如何做研究,,3-8小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,1420,http://www.icourse163.org/course/PKU-269001
13,北京大学,教你如何做MOOC,,3-8小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,984,http://www.icourse163.org/course/PKU-72001
14,北京大学,翻转课堂教学法,7周,3-8学时每周,视频 文档 随堂测验 富文本 讨论,教育教学,4196,http://www.icourse163.org/course/PKU-21016
15,南京大学,思想道德修养与法律基础,15周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,,4125,http://www.icourse163.org/course/NJU-1001752346
16,南京大学,基于Java的面向对象编程范式,10周,每周3小时,视频,计算机,4107,http://www.icourse163.org/course/NJU-1002246017
17,南京大学,植物与人类,10周,2-4小时每周,视频 文档 随堂测验,生命科学,4426,http://www.icourse163.org/course/NJU-1002248009
18,南京大学,走进天文学,,待定,视频 随堂测验 讨论,理学,1584,http://www.icourse163.org/course/NJU-1002245009
19,南京大学,现代汉语,16周,2小时每周,视频 文档 富文本 讨论,文学历史,12507,http://www.icourse163.org/course/NJU-1002223003
20,南京大学,大学英语学术阅读与写作,周,,视频 文档 随堂测验 富文本 讨论,,3406,http://www.icourse163.org/course/NJU-1001753386
21,南京大学,中国文化与当代中国,10周,3小时/周,视频 随堂测验 讨论,外语,5919,http://www.icourse163.org/course/NJU-1001967032
22,南京大学,走近中华优秀传统文化,8周,2-3小时每周,视频 随堂测验 讨论,哲学,9892,http://www.icourse163.org/course/NJU-1002190001
23,南京大学,理解马克思,16周,3小时每周,视频,哲学,8780,http://www.icourse163.org/course/NJU-1001571006
24,南京大学,走进地理学,8周,3-5小时每周,视频 随堂测验,理学,10120,http://www.icourse163.org/course/NJU-1001623002
25,南京大学,程序猿与攻城狮,5周,每周2小时,视频 随堂测验,计算机,16095,http://www.icourse163.org/course/NJU-1001616012
26,南京大学,学在南哲,8周,2-3小时每周,视频,哲学,3429,http://www.icourse163.org/course/NJU-1001614017
27,南京大学,计算机系统基础（二）：程序的执行和存储访问,13周,3-5小时每周,视频 文档 随堂测验 讨论,计算机,6932,http://www.icourse163.org/course/NJU-1001964032
28,南京大学,手把手教你心理咨询：谈话的艺术,5周,2-3,视频 讨论,心理学,67160,http://www.icourse163.org/course/NJU-1001893005
29,南京大学,软件测试,6周,1-3小时每周,视频 随堂测验 讨论,计算机,10098,http://www.icourse163.org/course/NJU-1001773008
30,南京大学,职业与创业胜任力,12周,2-3小时每周,视频,经济管理,4922,http://www.icourse163.org/course/NJU-1001785001
31,南京大学,物理化学,16周,4小时每周,视频 文档 随堂测验 富文本 讨论,,4747,http://www.icourse163.org/course/NJU-1001754342
32,南京大学,政治经济学（下）,待定周,待定,视频,,2858,http://www.icourse163.org/course/NJU-1001753387
33,南京大学,普通天文学,11周,1小时每周,视频 文档,,1739,http://www.icourse163.org/course/NJU-1001752349
34,南京大学,走进创业,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,5535,http://www.icourse163.org/course/NJU-1001737032
35,南京大学,中国行政法原理及应用,13周,3,视频 文档 随堂测验 富文本 讨论,法学,3331,http://www.icourse163.org/course/NJU-1001623003
36,南京大学,营养与健康,13周,4,视频 讨论,生命科学,14379,http://www.icourse163.org/course/NJU-1001624002
